Date,Close,Dividend,Split
2025-10-30,41.2,0.565,1
2025-10-31,42.55,0,1
2025-11-03,43.35,0,1
2025-11-04,41.75,0,1
2025-11-05,43.0,0,1
2025-11-06,41.2,0.735,1
2025-11-07,39.95,0,1
2025-11-10,41.25,0,1
2025-11-11,41.0,0,1
2025-11-12,40.45,0,1
2025-11-13,37.45,0.48,1
2025-11-14,37.65,0,1
2025-11-17,38.0,0,1
2025-11-18,37.5,0,1
2025-11-19,37.85,0,1
2025-11-20,36.55,0.445,1
2025-11-21,36.25,0,1
2025-11-24,38.25,0,1
2025-11-25,38.3,0,1
2025-11-26,38.8,0,1
2025-11-28,38.55,0.48,1
2025-12-01,38.68,0,5
2025-12-02,38.67,0,1
2025-12-03,39.63,0,1
2025-12-04,39.16,0.935,1
2025-12-05,39.22,0,1
2025-12-08,38.13,0,1
2025-12-09,38.65,0,1
2025-12-10,39.14,0,1
2025-12-11,38.44,0.424,1
2025-12-12,39.29,0,1
2025-12-15,40.24,0,1
2025-12-16,41.15,0,1
2025-12-17,39.65,0,1
2025-12-18,40.29,0.42,1
2025-12-19,40.16,0,1
2025-12-22,40.78,0,1
2025-12-23,40.69,0,1
2025-12-24,40.71,0,1
2025-12-26,39.38,0.629,1
2025-12-29,38.28,0,1
2025-12-30,37.91,0,1
2025-12-31,37.54,0,1
2026-01-02,36.36,0,1
2026-01-05,37.38,0,1
2026-01-06,36.04,0,1
2026-01-07,35.92,0,1
2026-01-08,35.97,0.318,1
2026-01-09,36.61,0,1
2026-01-12,36.8,0,1
2026-01-13,36.74,0,1
2026-01-14,36.34,0,1
2026-01-15,36.05,0.35,1
2026-01-16,36.06,0,1
2026-01-20,34.81,0,1
2026-01-21,35.77,0,1
2026-01-22,36.61,0.287,1
2026-01-23,36.68,0,1
2026-01-26,35.77,0,1
2026-01-27,35.55,0,1
2026-01-28,35.52,0,1
