Date,Close,Dividend,Split
2025-07-01,37.07,0,1
2025-06-30,35.27,0,1
2025-06-27,36.71,0,1
2025-06-26,36.49,0,1
2025-06-25,36.27,0,1
2025-06-24,37.33,0,1
2025-06-23,37.98,0,1
2025-06-20,37.88,0,1
2025-06-18,37.6,0,1
2025-06-17,37.08,0,1
2025-06-16,36.74,0,1
2025-06-13,36.43,0,1
2025-06-12,36.58,0,1
2025-06-11,36.02,0,1
2025-06-10,35.63,0,1
2025-06-09,35.59,0,1
2025-06-06,36.7,0,1
2025-06-05,36.95,3.073,1
2025-06-04,39.36,0,1
2025-06-03,38.42,0,1
2025-06-02,39.93,0,1
2025-05-30,39.93,0,1
2025-05-29,39.72,0,1
2025-05-28,40.3,0,1
2025-05-27,39.44,0,1
2025-05-23,39.28,0,1
2025-05-22,38.17,0,1
2025-05-21,37.93,0,1
2025-05-20,37.07,0,1
2025-05-19,37.35,0,1
2025-05-16,38.04,0,1
2025-05-15,38.1,0,1
2025-05-14,36.82,0,1
2025-05-13,36.53,0,1
2025-05-12,37.29,0,1
2025-05-09,36.79,0,1
2025-05-08,36.66,2.719,1
2025-05-07,41.34,0,1
2025-05-06,41.63,0,1
2025-05-05,41.55,0,1
2025-05-02,41.02,0,1
2025-05-01,42.59,0,1
2025-04-30,42.77,0,1
2025-04-29,42.65,0,1
2025-04-28,44.13,0,1
2025-04-25,44.18,0,1
2025-04-24,46.28,0,1
2025-04-23,46.69,0,1
2025-04-22,47.12,0,1
2025-04-21,50.94,0,1
2025-04-17,50.94,0,1
2025-04-16,51.31,0,1
2025-04-15,51.38,0,1
2025-04-14,51.35,0,1
2025-04-11,53.16,0,1
2025-04-10,57.43,0,1
2025-04-09,53.74,0,1
2025-04-08,60.49,0,1
2025-04-07,56.73,0,1
2025-04-04,53.16,0,1
2025-04-03,54.26,0,1
2025-04-02,49.87,0,1
2025-04-01,50.6,0,1
2025-03-31,53.1,0,1
2025-03-28,53.12,0,1
2025-03-27,50.06,0,1
