Date,Close,Dividend,Split
2025-09-30,27.3,0,1
2025-10-01,26.6,0,1
2025-10-02,25.0,0,1
2025-10-03,24.5,0,1
2025-10-06,24.3,0,1
2025-10-07,24.8,0,1
2025-10-08,24.3,0,1
2025-10-09,24.3,0,1
2025-10-10,25.5,0,1
2025-10-13,25.5,0,1
2025-10-14,26.3,0,1
2025-10-15,26.6,0,1
2025-10-16,25.7,1.12,1
2025-10-17,25.5,0,1
2025-10-20,25.0,0,1
2025-10-21,25.4,0,1
2025-10-22,26.3,0,1
2025-10-23,25.9,0.52,1
2025-10-24,23.9,0,1
2025-10-27,23.4,0,1
2025-10-28,23.8,0,1
2025-10-29,24.1,0,1
2025-10-30,24.8,0.36,1
2025-10-31,24.2,0,1
2025-11-03,24.8,0,1
2025-11-04,25.9,0,1
2025-11-05,25.2,0,1
2025-11-06,26.2,0.43,1
2025-11-07,25.4,0,1
2025-11-10,24.8,0,1
2025-11-11,25.8,0,1
2025-11-12,25.9,0,1
2025-11-13,26.5,0.62,1
2025-11-14,26.7,0,1
2025-11-17,28.0,0,1
2025-11-18,28.1,0,1
2025-11-19,28.4,0,1
2025-11-20,29.1,0.68,1
2025-11-21,28.9,0,1
2025-11-24,28.3,0,1
2025-11-25,27.9,0,1
2025-11-26,26.8,0,1
2025-11-28,25.4,0.69,1
2025-12-01,26.6,0,1
2025-12-02,26.31,0,10
2025-12-03,25.24,0,1
2025-12-04,25.06,0.399,1
2025-12-05,25.36,0,1
2025-12-08,25.13,0,1
2025-12-09,24.89,0,1
2025-12-10,25.12,0,1
2025-12-11,25.42,0.321,1
2025-12-12,25.71,0,1
2025-12-15,26.91,0,1
2025-12-16,26.78,0,1
2025-12-17,27.41,0,1
2025-12-18,27.26,0.405,1
2025-12-19,26.78,0,1
2025-12-22,26.76,0,1
2025-12-23,27.14,0,1
2025-12-24,27.29,0,1
2025-12-26,27.2,0.393,1
2025-12-29,27.43,0,1
2025-12-30,27.68,0,1
2025-12-31,27.97,0,1
2026-01-02,26.86,0.413,1
2026-01-05,24.92,0,1
2026-01-06,25.4,0,1
2026-01-07,25.88,0,1
2026-01-08,25.61,0.27,1
2026-01-09,26.01,0,1
2026-01-12,25.91,0,1
2026-01-13,25.01,0,1
2026-01-14,24.72,0,1
2026-01-15,26.0,0.245,1
2026-01-16,25.88,0,1
2026-01-20,26.85,0,1
2026-01-21,26.89,0,1
2026-01-22,26.91,0.261,1
2026-01-23,27.47,0,1
2026-01-26,27.83,0,1
2026-01-27,27.97,0,1
2026-01-28,28.18,0,1
